userId,rating,timestamp,movieId
265409,5.0,891417042,ds781
265409,5.0,891417042,as9331
265409,4.0,891417435,hs384
265409,3.0,891417191,hs398
265409,5.0,891417224,as8434
265409,5.0,891417191,ns3913
265409,5.0,891417191,as8838
265409,4.0,891417457,as1270
265409,4.0,891417548,ns411
265409,4.0,891417264,ns1191
265409,4.0,891417042,ns3009
265409,5.0,891417081,as3623
265409,4.0,891417573,hs1423
265409,4.0,891417605,as5388
265409,5.0,891417342,ns7133
265409,4.0,891417191,as4092
265409,4.0,891417111,as738
265409,4.0,891417487,hs942
265409,4.0,891417694,as8007
265409,5.0,891417637,ns4599
265409,4.0,891416687,as2502
265409,4.0,891416531,ns5082
265409,2.0,891416531,hs382
265409,2.0,891416717,as4395
265409,2.0,891416448,hs2138
265409,3.0,891416422,ns1598
265409,3.0,891416378,ns2916
265409,4.0,891416485,as237
265409,4.0,891416378,ns7930
265409,4.0,891416717,as5183
265409,4.0,891416137,as6364
265409,5.0,891417152,ns6950
265409,5.0,891416378,ns5172
265409,5.0,891416240,ns6123
265409,2.0,891416318,ns109
265409,3.0,891416485,as9016
265409,4.0,891416663,ds1324
265409,5.0,891416751,ns6687
265409,4.0,891416285,ns3437
265409,5.0,891416343,as3264
265409,4.0,891416112,ns260
265409,4.0,891416751,as516
265409,3.0,891417224,as3470
265409,2.0,891417342,ns6921
265410,4.0,1240308161,as1638
265410,2.5,1240306989,ns7276
265410,4.0,1240306934,as2574
265410,3.0,1240306967,as5866
265410,4.5,1240306846,ns7668
265410,4.0,1240306829,as6899
265410,4.5,1240306858,ns5369
265410,3.0,1240307382,ns3292
265410,4.0,1240308623,as8137
265410,3.5,1240307056,ds16
265410,4.5,1240307027,ns1861
265410,4.0,1240308631,as8243
265410,4.5,1240306962,ns4518
265410,3.0,1240306867,as5921
265410,3.5,1240308217,ns7938
265410,1.5,1240306806,as8148
265410,4.0,1240307237,ns5099
265410,3.0,1240306893,as5233
265410,5.0,1240307961,as5365
265410,3.0,1240306836,as4684
265410,3.5,1240307299,hs520
265410,4.0,1240307780,as5039
265410,5.0,1240307912,ns8326
265410,4.0,1240306953,ns3425
265410,5.0,1240307939,ns3400
265410,3.5,1240307569,hs8
265410,3.5,1240308050,as4181
265410,4.5,1240307906,as6027
265410,3.0,1240307534,ns3181
265410,3.5,1240307520,hs364
265410,4.0,1240307620,ns642
265410,2.0,1240307674,hs1046
265410,4.5,1240308869,as370
